learning_rate,num_leaves,min_child_samples,reg_alpha,reg_lambda,val_rmse,val_mae,val_r2,val_pearson,stage
0.05,31,20,0,0,1.0172689440193494,0.7454369167416308,0.4619504597801949,0.6873933275186862,coarse
0.05,31,20,0,1,1.0215982089173792,0.750529617162834,0.45736108228623384,0.685871980593577,coarse
0.05,31,20,1,0,1.0172504532289406,0.7503633294905078,0.46197001974202334,0.688140434042719,coarse
0.05,31,20,1,1,1.0174831098677408,0.7523627704202257,0.46172388456264435,0.6870375375665226,coarse
0.05,31,50,0,0,1.0134062885934134,0.7498784020484972,0.46602874064891564,0.6921979577067835,coarse
0.05,31,50,0,1,1.0266048018859721,0.7613263739945549,0.45202937893971074,0.6819431497921575,coarse
0.05,31,50,1,0,1.0216095498059443,0.7559934447873655,0.4573490344153559,0.6847048884306448,coarse
0.05,31,50,1,1,1.0165130406892782,0.7517416035526673,0.46274978100797637,0.688614817359542,coarse
0.05,63,20,0,0,1.0113184833887177,0.7402905095224518,0.4682266342491578,0.690902275224785,coarse
0.05,63,20,0,1,1.013799064704149,0.7439760719544255,0.4656147471683846,0.6896166893004109,coarse
0.05,63,20,1,0,1.0105813626033935,0.7366813633287052,0.4690015401873644,0.693611057363558,coarse
0.05,63,20,1,1,1.0132581214925005,0.7356594773352408,0.46618486991440644,0.6913130983120831,coarse
0.05,63,50,0,0,0.9948645333987425,0.7291797341509136,0.4853895635995167,0.7045824887095458,coarse
0.05,63,50,0,1,0.9902032573160947,0.7234839380788649,0.49020051379913687,0.7067876274334803,coarse
0.05,63,50,1,0,1.0103578862230493,0.7416281434480724,0.4692363604552051,0.6917534464079271,coarse
0.05,63,50,1,1,1.006495282454333,0.7409817513392771,0.47328682778734155,0.6947213883553663,coarse
0.1,31,20,0,0,1.0262640839525112,0.7585632595734252,0.45239304845487227,0.6820483861673181,coarse
0.1,31,20,0,1,1.0258983578421068,0.7586967498297111,0.45278327642455785,0.6815476024465077,coarse
0.1,31,20,1,0,1.0204679230233442,0.7531333965992812,0.4585611584295065,0.6860328588114338,coarse
0.1,31,20,1,1,1.0193106799761367,0.7540493567451935,0.45978847982203874,0.6865352066795375,coarse
0.1,31,50,0,0,1.0117538839118725,0.748465287913942,0.46776864945717167,0.695228454823966,coarse
0.1,31,50,0,1,1.0091469852196622,0.7462858297466931,0.4705078249476339,0.6953427100459333,coarse
0.1,31,50,1,0,1.0175518444203655,0.7540354463474984,0.46165115722731576,0.6900553690884644,coarse
0.1,31,50,1,1,1.0072027578261096,0.7440673415217572,0.4725461038738126,0.6962057532658195,coarse
0.1,63,20,0,0,1.0203068011388887,0.7477290706075623,0.4587321207057692,0.6860750292092604,coarse
0.1,63,20,0,1,1.0218157691075385,0.7471897385819908,0.45712993623331144,0.6863931009843525,coarse
0.1,63,20,1,0,1.0219123542649664,0.7424757326096234,0.4570273038993232,0.6856342951037578,coarse
