n_estimators,max_depth,min_samples_leaf,max_features,val_rmse,val_mae,val_r2,val_pearson,stage
500,40,1,0.3,0.9790334586975913,0.7204655070318104,0.501637035540506,0.714458781168113,coarse
500,40,1,sqrt,0.9856385912599087,0.7331881537971859,0.49488985552850084,0.7106500300909243,coarse
500,40,5,0.3,1.0086314566211112,0.7549875696296463,0.47104867506998405,0.6908515943905399,coarse
500,40,5,sqrt,1.0585148948867287,0.8166957673510532,0.41743466427599696,0.6556737878114387,coarse
500,40,10,0.3,1.0384202402452414,0.7917432301445788,0.4393433454476948,0.668149227408061,coarse
500,40,10,sqrt,1.0968205889205394,0.854855004182398,0.3745078255806916,0.624389749900567,coarse
500,60,1,0.3,0.9792294900241154,0.7183065958398243,0.5014374416801969,0.7147538503244408,coarse
500,60,1,sqrt,0.9878536261341212,0.733840892621482,0.4926170269658927,0.7091779248660538,coarse
500,60,5,0.3,1.0084842427963596,0.7543746289502622,0.4712030689558696,0.6907254728143989,coarse
500,60,5,sqrt,1.0583449521248225,0.8167959235361107,0.417621709003019,0.6560180450012604,coarse
500,60,10,0.3,1.038239635674047,0.7916048539501004,0.4395383500235178,0.6682903293467615,coarse
500,60,10,sqrt,1.0968843381387634,0.8548810886733937,0.37443511396983975,0.6242496380462543,coarse
800,40,1,0.3,0.9782776605008455,0.7183991142060925,0.5024061950376804,0.7148866031081438,coarse
800,40,1,sqrt,0.9850308130730041,0.7326736423665675,0.4955125995622123,0.7111684345589574,coarse
800,40,5,0.3,1.007499768688652,0.7540241061657926,0.4722349795568026,0.6916111430454179,coarse
800,40,5,sqrt,1.0554747134691858,0.8135367417935274,0.4207762533362609,0.6584593398335281,coarse
800,40,10,0.3,1.0389817342000565,0.7917668333559778,0.4387368656802092,0.6675466963565161,coarse
800,40,10,sqrt,1.096163016496208,0.85431932407354,0.3752575983607642,0.6252409543327253,coarse
800,60,1,0.3,0.9781947809302436,0.7173197235124252,0.5024905036457886,0.7153178997396418,coarse
800,60,1,sqrt,0.9860111027985746,0.732327918186248,0.4945079814517602,0.7105275189245609,coarse
800,60,5,0.3,1.0072599726149178,0.7533790871819043,0.47248617746836286,0.691620377912129,coarse
800,60,5,sqrt,1.0558884521929557,0.8139166321858772,0.4203220609985444,0.6581463515435039,coarse
800,60,10,0.3,1.039140896288211,0.7917188585824081,0.43856489219518546,0.6674303311954486,coarse
800,60,10,sqrt,1.0960814441560254,0.8542064755024363,0.3753505768735528,0.6252497164738923,coarse
700,50,1,0.3,0.9797917157760282,0.7192346887565026,0.5008647767824974,0.7141521492080855,fine
700,50,1,0.5,0.9821787483115751,0.7192952090709109,0.4984297625956253,0.7124645678596472,fine
700,50,3,0.3,0.9860539139650291,0.7286843170976448,0.4944640850439207,0.7071639178951485,fine
700,50,3,0.5,0.9902191896209536,0.7297034553344243,0.4901841083871883,0.7037414884412333,fine
700,60,1,0.3,0.978570736330073,0.7180826130014502,0.5021080086077259,0.7150789468377202,fine
700,60,1,0.5,0.9792454758579298,0.7153042079126759,0.5014211635690109,0.7142505757093566,fine
700,60,3,0.3,0.9871967397494925,0.7299072460962563,0.49329158470232715,0.7063693126909858,fine
700,60,3,0.5,0.9903925637511535,0.7305931646086071,0.4900055688768401,0.7037087194358842,fine
700,70,1,0.3,0.9792934100627376,0.7179265954614965,0.5013723513649684,0.7149741220684488,fine
700,70,1,0.5,0.9804207655507453,0.7160774338408913,0.5002236574786815,0.7135339778625608,fine
700,70,3,0.3,0.9874670441965155,0.7294254315220705,0.4930140629404377,0.7061571708659597,fine
700,70,3,0.5,0.9905752090534737,0.7304339160952911,0.4898174481669061,0.7035418624966687,fine
800,50,1,0.3,0.9787711734294166,0.718218798517166,0.5019040248929774,0.7148506855774955,fine
800,50,1,0.5,0.9818888716331332,0.7192425457744741,0.49872578215258767,0.712682896211615,fine
800,50,3,0.3,0.9872334476674284,0.7295748437230244,0.4932539011160829,0.7062526022188961,fine
800,50,3,0.5,0.9902474336396629,0.7293137818597837,0.49015502501840125,0.7037826981263032,fine
800,60,1,0.3,0.9781947809302436,0.7173197235124252,0.5024905036457886,0.7153178997396418,fine
800,60,1,0.5,0.9795503744691926,0.715749505452019,0.5011106394675702,0.7141142089281312,fine
800,60,3,0.3,0.9879630621336147,0.7303837069782193,0.4925046033498056,0.7057712004519315,fine
800,60,3,0.5,0.9903619403962586,0.7301980163355509,0.49003710687414903,0.7038007172527505,fine
800,70,1,0.3,0.9791076511183747,0.7173055113808677,0.5015614994994628,0.7150531693413427,fine
800,70,1,0.5,0.9806806417422302,0.7160637891494621,0.4999586749519256,0.7133989772816589,fine
800,70,3,0.3,0.9883169272305481,0.73009545844747,0.4921409924494491,0.7055362132157686,fine
800,70,3,0.5,0.9905427518477938,0.72990854764053,0.4898508809210874,0.7036247876298861,fine
