alpha,solver,val_rmse,val_mae,val_r2,val_pearson,stage
0.1,sparse_cg,1.4501385116207761,1.0840662297135812,-0.09337632257110395,0.4871706186723318,single
0.1,lsqr,1.4500369533930368,1.0851097262353449,-0.0932231820643501,0.48712248129541164,single
1.0,sparse_cg,1.3489034120167072,1.0203158033322348,0.053953684597881746,0.5212795779104231,single
1.0,lsqr,1.348401414984908,1.0202538343995673,0.054657699530680115,0.5215254732635993,single
10.0,sparse_cg,1.1712985864593157,0.8901630006743412,0.2866774876222212,0.590142579756547,single
10.0,lsqr,1.1709752357212688,0.8898740006353131,0.2870712753826157,0.590297045575304,single
100.0,sparse_cg,1.1084276148813297,0.852331760496516,0.3611993250886545,0.6129412422361616,single
100.0,lsqr,1.1083744232689847,0.8522875466973666,0.36126063359832195,0.6129852282135665,single
1000.0,sparse_cg,1.1589744129231363,0.9122689244187274,0.3016093954427729,0.5591527746131383,single
1000.0,lsqr,1.158983143487491,0.9122763296051883,0.30159887343811886,0.5591522568943494,single
